# Thumbnail URLs for ShoeStore Products
# Format: ID | CODE | NAME | THUMBNAIL_URL

1 | NIKE-AM90-001 | Nike Air Max 90 | https://authentic-shoes.com/wp-content/uploads/2023/04/898512_201.png_4c8f2ef62bf44d84b3b0444eca499b58.png
2 | NIKE-AF1-001 | Nike Air Force 1 | https://authentic-shoes.com/wp-content/uploads/2023/04/dj6878_100.png_5c9929c96f5944d9a_a396eb11f5be494c99f8d67a6d73a7cb.png
3 | NIKE-DUNK-001 | Nike Dunk Low | https://authentic-shoes.com/wp-content/uploads/2023/04/bq6817_010.png_0a2a0a9ae4b64b46a5738788a3c77a78.png
4 | NIKE-RE55-001 | Nike React Element 55 | https://authentic-shoes.com/wp-content/uploads/2023/04/cq4809_001.png_ca8a8494d1f445f58dadb15fa42cce29.png
5 | NIKE-AJ1-001 | Nike Air Jordan 1 | https://authentic-shoes.com/wp-content/uploads/2023/04/air-jordan-1-retro-high-bloodline-555088-062-5_4d731a91dc3c41b2a29d1d1718319b32.jpg
6 | NIKE-BLZ-001 | Nike Blazer Mid | https://authentic-shoes.com/wp-content/uploads/2023/04/cj9693_600.png_3b3127d4a2e8422d83cf04c2910e57e1.png
7 | NIKE-PEG38-001 | Nike Pegasus 38 | https://authentic-shoes.com/wp-content/uploads/2023/04/701942_01.jpg_5a4958cd3d99460a920d03bbb77a948c.png
8 | NIKE-CORT-001 | Nike Cortez | https://authentic-shoes.com/wp-content/uploads/2023/04/859569_900_d8d0158a0d9e4459a1faded272666f5d.png
9 | NIKE-VM-001 | Nike VaporMax | https://authentic-shoes.com/wp-content/uploads/2023/04/127555_01.jpg_787633f5d79940cda0b62ed4d1aa90f8.png
10 | NIKE-SB-001 | Nike SB Dunk | https://authentic-shoes.com/wp-content/uploads/2023/04/313170_811_47222b915621458985ff23361aadc63f.png
11 | NIKE-AM270-001 | Nike Air Max 270 | https://authentic-shoes.com/wp-content/uploads/2023/04/1__1__20e85019138540139a7813cac9c8ba71.png
12 | NIKE-ZX-001 | Nike ZoomX Vaporfly | https://authentic-shoes.com/wp-content/uploads/2023/04/543240_01.jpg_f90ee6ebd92e4d2f94d0a79d6aaeb9bf.jpeg
13 | NIKE-AM97-001 | Nike Air Max 97 | https://authentic-shoes.com/wp-content/uploads/2023/04/nike-air-max-97-corduroy-packin_98fd7d2e1d6a44d590bff4d5bfbb29b0.png
14 | NIKE-FREE-001 | Nike Free RN | https://authentic-shoes.com/wp-content/uploads/2025/09/W-NIKE-FREE-METCON-6-10.png
15 | NIKE-KY7-001 | Nike Kyrie 7 | https://authentic-shoes.com/wp-content/uploads/2023/04/ao2919_902.png_5e5934250373470eb9ce04e79ce0fed5.png
16 | NIKE-LB18-001 | Nike LeBron 18 | https://authentic-shoes.com/wp-content/uploads/2023/04/758357_01.jpg_65063c7da57844989ad3d04410a64d20.png
17 | NIKE-AM95-001 | Nike Air Max 95 | https://authentic-shoes.com/wp-content/uploads/2023/04/aa1103_600.png_4b833c9f8fad4d399615a3485188ebec.png
18 | NIKE-MET7-001 | Nike Metcon 7 | https://authentic-shoes.com/wp-content/uploads/2025/10/WNIKEMETCON10-5-duoc-xoa-nen.png
19 | NIKE-AM720-001 | Nike Air Max 720 | https://authentic-shoes.com/wp-content/uploads/2023/04/air-max-720-heren-sneakers-sport-casual-schoenen-zwart-goud-cj0585-002_fea7dfbcf034400b8ee5c7247f70d623.png
20 | NIKE-ZF-001 | Nike Zoom Fly | https://authentic-shoes.com/wp-content/uploads/2023/04/527433_01.jpg_7ef692bc4cb443309e921f91de28204e.jpeg
21 | NIKE-AM98-001 | Nike Air Max 98 | https://authentic-shoes.com/wp-content/uploads/2023/04/373399_01.jpg_217fefd105c84a38880ed7eaf329c9d6.jpeg
22 | NIKE-HD-001 | Nike Hyperdunk | https://authentic-shoes.com/wp-content/uploads/2023/04/ao7890_400.png_fc16e1c95c1944ba8aff78ad25ce47f4.png
23 | NIKE-AMP-001 | Nike Air Max Plus | https://authentic-shoes.com/wp-content/uploads/2023/04/ar0259_700.png_ac6903a6984a4c958d80366bd7d6d343.png
24 | NIKE-ER-001 | Nike Epic React | https://authentic-shoes.com/wp-content/uploads/2023/04/346656_01.jpg_111bc9e3a1594cc4a5c4ace3f92e6032.jpeg
25 | NIKE-AM200-001 | Nike Air Max 200 | https://authentic-shoes.com/wp-content/uploads/2023/05/Nike-Air-Max-200-Bubble-Pack-Whi.png
26 | ADIDAS-UB22-001 | Adidas Ultraboost 22 | https://authentic-shoes.com/wp-content/uploads/2023/04/removal.ai__tmp-62ab3546dd47d_e056ac1d219e4f21a2af701ec4fee24e.png
27 | ADIDAS-SS-001 | Adidas Stan Smith | https://authentic-shoes.com/wp-content/uploads/2023/04/8880_01.jpg_c2f0a7080647417eb4a17324fed9919f.jpeg
28 | ADIDAS-SUP-001 | Adidas Superstar | https://authentic-shoes.com/wp-content/uploads/2023/04/8609_01.jpg_730e52ab95f04401a870e9ac2aa8aad8.jpeg
29 | ADIDAS-NMD-001 | Adidas NMD R1 | https://authentic-shoes.com/wp-content/uploads/2023/04/61500_01.jpg_2b2b93d9d4a3416bbd7dbe6dd70aa93f.jpeg
30 | ADIDAS-YZ350-001 | Adidas Yeezy 350 | https://authentic-shoes.com/wp-content/uploads/2023/04/94407_01.jpg_cd5eb6cd8c024b8ea7b28363dd60bc64.jpeg
31 | ADIDAS-GAZ-001 | Adidas Gazelle | https://authentic-shoes.com/wp-content/uploads/2023/04/ba9600.png_4d585a6a3c784be485f10c332c73209e.png
32 | ADIDAS-SAM-001 | Adidas Samba | https://authentic-shoes.com/wp-content/uploads/2023/04/fw2427.png_6f9c1be7d4794549b819df22d7a6a443.png
33 | ADIDAS-PRED-001 | Adidas Predator | https://authentic-shoes.com/wp-content/uploads/2023/04/giay_bong_dja_predator_20.3_turf-removebg-preview_bf3eb3c1bfb3446193f4d16815371a36.png
34 | ADIDAS-COP-001 | Adidas Copa Mundial | https://authentic-shoes.com/wp-content/uploads/2024/09/Giay_DJa_Bong_Firm_Ground_Copa_M-1.png
35 | ADIDAS-PB-001 | Adidas Pureboost | https://authentic-shoes.com/wp-content/uploads/2025/07/1-duoc-xoa-nen-30-e1751964510506-1536x744.png
36 | ADIDAS-ZX8-001 | Adidas ZX 8000 | https://authentic-shoes.com/wp-content/uploads/2023/04/main_f26becd574d54446859fc22209834e61.png
37 | ADIDAS-FOR-001 | Adidas Forum | https://authentic-shoes.com/wp-content/uploads/2023/05/adidas-forum-bold-fy9042-trainer.png
38 | ADIDAS-TUB-001 | Adidas Tubular | https://authentic-shoes.com/wp-content/uploads/2023/04/s75582.png_e57f06bdee224e89a2c17a6e942ac90a.png
39 | ADIDAS-SB-001 | Adidas Solarboost | https://authentic-shoes.com/wp-content/uploads/2024/08/Giay_Solarboost_5_DJo_GV9137_01.png
40 | ADIDAS-ORG-001 | Adidas Originals | https://authentic-shoes.com/wp-content/uploads/2023/04/cq2362.png_7f58be5e0691459aaece40c9ad2f6f37.png
41 | ADIDAS-TER-001 | Adidas Terrex | https://authentic-shoes.com/wp-content/uploads/2023/04/fw2690.png_8ff2f2f43ee54a209f81b5d4e51583d9.png
42 | ADIDAS-RES-001 | Adidas Response | https://authentic-shoes.com/wp-content/uploads/2023/04/ns-response-super-running-shoe-white-white-6-5-us-white-white-9159-600_73b0d3760e5c4079adb8c7ef875553ad.jpg
43 | ADIDAS-DUR-001 | Adidas Duramo | https://authentic-shoes.com/wp-content/uploads/2023/05/fy4320-1.png_d2f6ae681d784b1794ce5-1.png
44 | ADIDAS-LR-001 | Adidas Lite Racer | https://authentic-shoes.com/wp-content/uploads/2023/04/bb7051.png_a5c68681f6fd415aa3f7d8fff5f2916f.png
45 | ADIDAS-CF-001 | Adidas Cloudfoam | https://authentic-shoes.com/wp-content/uploads/2023/04/h00944.png_9d4393ef80a145e991d54f93e4dfbcf1.png
46 | ADIDAS-ADV-001 | Adidas Advantage | https://authentic-shoes.com/wp-content/uploads/2023/04/giay_advantage_trang_fy8955_01_s-removebg-preview_317451ca43984d2d854c490d66f1c473.png
